airbnb_listing_id,diaria_mediana_anunciada,datas_validas,cenario,ocupacao_assumida,dias_ano,natureza,noites_ocupadas_assumidas,potencial_bruto_anualizado
1062615116593634676,400.0,66,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,102200.0
1063807278503566143,481.5,67,conservador,0.4,365,hipotese_de_sensibilidade,146.0,70299.0
1063807278503566143,481.5,67,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,96661.13
1063807278503566143,481.5,67,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,123023.25
1066545050089987954,400.0,81,conservador,0.4,365,hipotese_de_sensibilidade,146.0,58400.0
1066545050089987954,400.0,81,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,80300.0
1066545050089987954,400.0,81,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,102200.0
1067320906990424780,523.0,61,conservador,0.4,365,hipotese_de_sensibilidade,146.0,76358.0
1067320906990424780,523.0,61,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,104992.25
1067320906990424780,523.0,61,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,133626.5
1070343877574441166,300.0,22,conservador,0.4,365,hipotese_de_sensibilidade,146.0,43800.0
1070343877574441166,300.0,22,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,60225.0
1070343877574441166,300.0,22,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,76650.0
1074031328011239995,1500.0,102,conservador,0.4,365,hipotese_de_sensibilidade,146.0,219000.0
1074031328011239995,1500.0,102,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,301125.0
1074031328011239995,1500.0,102,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,383250.0
1075444278753674442,650.0,45,conservador,0.4,365,hipotese_de_sensibilidade,146.0,94900.0
1075444278753674442,650.0,45,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,130487.5
1075444278753674442,650.0,45,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,166075.0
1075503699104403085,800.0,69,conservador,0.4,365,hipotese_de_sensibilidade,146.0,116800.0
1075503699104403085,800.0,69,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,160600.0
1075503699104403085,800.0,69,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,204400.0
1077396104359577731,600.0,20,conservador,0.4,365,hipotese_de_sensibilidade,146.0,87600.0
1077396104359577731,600.0,20,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,120450.0
1077396104359577731,600.0,20,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,153300.0
1081972140987250431,525.0,63,conservador,0.4,365,hipotese_de_sensibilidade,146.0,76650.0
1081972140987250431,525.0,63,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,105393.75
1081972140987250431,525.0,63,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,134137.5
1082133757143221839,1200.0,17,conservador,0.4,365,hipotese_de_sensibilidade,146.0,175200.0
1082133757143221839,1200.0,17,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,240900.0
1082133757143221839,1200.0,17,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,306600.0
1082746592587689161,390.0,44,conservador,0.4,365,hipotese_de_sensibilidade,146.0,56940.0
