variavel,coeficiente_log,erro_padrao_hc3,limite_inferior_log_95,limite_superior_log_95,associacao_percentual_aproximada,limite_inferior_percentual_95,limite_superior_percentual_95,rotulo,cenario_modelo,anuncios_modelo,r_quadrado,referencias_categoricas,interpretacao
reviews_log2,-0.036117756790099105,0.010911054459918548,-0.057503423531539456,-0.014732090048658754,-3.5473292773530054,-5.588134183911384,-1.4624103748404977,Dobro em (reviews + 1),corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
avaliacao_centrada,0.3279376316736866,0.09566480923215975,0.1404346055786535,0.5154406577687197,38.81023959664423,15.07738229159418,67.43761661221961,+1 ponto na avaliação (entre avaliados),corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
possui_avaliacao,-0.22061244559646034,0.0938087522197473,-0.40447759994716503,-0.03674729124575565,-19.797255066390072,-33.26746693948523,-3.608030448169018,Possui avaliação,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
taxa_limpeza_100,0.01371293932082946,0.01635381048721923,-0.01834052923412023,0.04576640787577915,1.380739292492618,-1.8173365246519457,4.682985118579472,+R$ 100 na taxa de limpeza,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
is_superhost,-0.05886748158759373,0.027648051108757694,-0.1130576617607588,-0.004677301414428653,-5.716829656062336,-10.690083903888942,-0.46663798745808044,Superhost,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
is_professional,0.15453169452960988,0.0405467386721019,0.07506008673229016,0.23400330232692962,16.71112685139518,7.794891936688927,26.364866518190418,Anfitrião profissional,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
can_instant_book,0.03497649680758984,0.033838970273432564,-0.03134788492833798,0.10130087854351766,3.5595368716379543,-3.0861634206172583,10.660954674759687,Reserva instantânea,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
is_guest_favorite,-0.07567503132644644,0.029282938871205075,-0.13306959151400838,-0.0182804711388845,-7.288255826399732,-12.459583071256992,-1.8114396838237043,Preferido dos hóspedes,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
comodidade_piscina,0.20534627661262195,0.05068115167929769,0.10601121932119847,0.3046813339040454,22.795020178780334,11.18343504632534,35.61927614868582,Com piscina,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
comodidade_elevador,0.002730572972146676,0.027668780465181918,-0.05150023673960988,0.05696138268390323,0.27343043820474994,-5.01965748939194,5.861492873880737,Com elevador,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
comodidade_churrasqueira,0.04447312652989609,0.030349459692424106,-0.015011814467255163,0.10395806752704734,4.5476880741240215,-1.4899698900938951,10.955392760002804,Com churrasqueira,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
comodidade_vista_praia,0.16634020812557343,0.026859727099889597,0.11369514300978982,0.21898527324135703,18.09748106137555,12.041050783940697,24.481294449275545,Com menção a vista para praia/mar,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
comodidade_estacionamento,0.06197896122056987,0.04377311145722452,-0.023816337235590193,0.1477742596767299,6.393996049441028,-2.353496644273448,15.925117708832136,Com estacionamento,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
quartos_faixa_0 (studio),-0.018984894789643606,0.12886504052057182,-0.2715603742099644,0.23359058463067717,-1.8805816724592836,-23.781073449584422,26.312724262349775,quartos faixa 0 (studio),corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
quartos_faixa_1,-0.0025159964909615973,0.06962082180803485,-0.1389728072347099,0.1339408142527867,-0.2512834024597751,-12.974830731347522,14.33251490888439,quartos faixa 1,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
