segmento,rotulo,corte_datas,tratamento_extremos,metrica_diaria,metrica_compra,cenario_ocupacao,ocupacao_assumida,anuncios_airbnb,anuncios_vivareal,diaria_usada,preco_compra_usado,retorno_bruto_indicativo_percentual,comparavel_ranqueavel,ranking_no_cenario
centro_studio,Centro | studio,7,completa,p25,p25,conservador,0.4,0,0,,,,False,
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p75,p75,base,0.55,36,141,518.25,890000.0,11.689740168539327,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p75,p75,otimista,0.7,36,141,518.25,890000.0,14.877851123595507,True,1
centro_2q,Centro | 2 quartos,7,completa,p25,p25,conservador,0.4,65,89,370.0,889000.0,6.0764904386951635,True,4
centro_2q,Centro | 2 quartos,7,completa,p25,p25,base,0.55,65,89,370.0,889000.0,8.355174353205848,True,4
centro_2q,Centro | 2 quartos,7,completa,p25,p25,otimista,0.7,65,89,370.0,889000.0,10.633858267716535,True,4
centro_2q,Centro | 2 quartos,7,completa,p25,mediana,conservador,0.4,65,89,370.0,1150000.0,4.697391304347827,True,4
centro_2q,Centro | 2 quartos,7,completa,p25,mediana,base,0.55,65,89,370.0,1150000.0,6.458913043478261,True,4
centro_2q,Centro | 2 quartos,7,completa,p25,mediana,otimista,0.7,65,89,370.0,1150000.0,8.220434782608695,True,4
centro_2q,Centro | 2 quartos,7,completa,p25,p75,conservador,0.4,65,89,370.0,1550000.0,3.4851612903225804,True,4
centro_2q,Centro | 2 quartos,7,completa,p25,p75,base,0.55,65,89,370.0,1550000.0,4.792096774193548,True,4
centro_2q,Centro | 2 quartos,7,completa,p25,p75,otimista,0.7,65,89,370.0,1550000.0,6.099032258064517,True,4
centro_2q,Centro | 2 quartos,7,completa,mediana,p25,conservador,0.4,65,89,580.0,889000.0,9.525309336332958,True,3
centro_2q,Centro | 2 quartos,7,completa,mediana,p25,base,0.55,65,89,580.0,889000.0,13.09730033745782,True,3
centro_2q,Centro | 2 quartos,7,completa,mediana,p25,otimista,0.7,65,89,580.0,889000.0,16.669291338582678,True,3
centro_2q,Centro | 2 quartos,7,completa,mediana,mediana,conservador,0.4,65,89,580.0,1150000.0,7.363478260869565,True,2
centro_2q,Centro | 2 quartos,7,completa,mediana,mediana,base,0.55,65,89,580.0,1150000.0,10.124782608695654,True,2
centro_2q,Centro | 2 quartos,7,completa,mediana,mediana,otimista,0.7,65,89,580.0,1150000.0,12.886086956521739,True,2
centro_2q,Centro | 2 quartos,7,completa,mediana,p75,conservador,0.4,65,89,580.0,1550000.0,5.4632258064516135,True,4
centro_2q,Centro | 2 quartos,7,completa,mediana,p75,base,0.55,65,89,580.0,1550000.0,7.511935483870968,True,4
centro_2q,Centro | 2 quartos,7,completa,mediana,p75,otimista,0.7,65,89,580.0,1550000.0,9.560645161290322,True,4
centro_2q,Centro | 2 quartos,7,completa,p75,p25,conservador,0.4,65,89,713.0,889000.0,11.709561304836894,True,3
centro_2q,Centro | 2 quartos,7,completa,p75,p25,base,0.55,65,89,713.0,889000.0,16.10064679415073,True,3
centro_2q,Centro | 2 quartos,7,completa,p75,p25,otimista,0.7,65,89,713.0,889000.0,20.491732283464568,True,3
centro_2q,Centro | 2 quartos,7,completa,p75,mediana,conservador,0.4,65,89,713.0,1150000.0,9.052,True,2
centro_2q,Centro | 2 quartos,7,completa,p75,mediana,base,0.55,65,89,713.0,1150000.0,12.4465,True,2
centro_2q,Centro | 2 quartos,7,completa,p75,mediana,otimista,0.7,65,89,713.0,1150000.0,15.841,True,2
centro_2q,Centro | 2 quartos,7,completa,p75,p75,conservador,0.4,65,89,713.0,1550000.0,6.715999999999999,True,4
centro_2q,Centro | 2 quartos,7,completa,p75,p75,base,0.55,65,89,713.0,1550000.0,9.234499999999999,True,4
centro_2q,Centro | 2 quartos,7,completa,p75,p75,otimista,0.7,65,89,713.0,1550000.0,11.753,True,4
centro_3q,Centro | 3 quartos,7,completa,p25,p25,conservador,0.4,45,437,523.0,1750000.0,4.363314285714286,True,6
centro_3q,Centro | 3 quartos,7,completa,p25,p25,base,0.55,45,437,523.0,1750000.0,5.999557142857144,True,6
centro_3q,Centro | 3 quartos,7,completa,p25,p25,otimista,0.7,45,437,523.0,1750000.0,7.6358,True,6
