segmento,rotulo,metrica_diaria,metrica_preco,ocupacao_assumida,custo_variavel_assumido,preparacao_assumida,diaria_usada,preco_compra_usado,receita_bruta_anual,custos_variaveis_anuais,custos_fixos_anuais,potencial_liquido_anual,itbi_estimado,cartorio_estimado,preparacao_estimada,investimento_total_estimado,retorno_liquido_estimado_percentual,payback_estimado_anos,ocupacao_equilibrio_percentual
centro_1q,Centro | 1 quarto,mediana,p25,0.7,0.4,0.03,445.0,652500.0,113697.5,45479.0,7000.0,61218.5,9787.5,6300.74,19575.0,688163.24,8.895927076837177,11.241099340885517,7.182802319019034
centro_1q,Centro | 1 quarto,mediana,p25,0.7,0.4,0.05,445.0,652500.0,113697.5,45479.0,7000.0,61218.5,9787.5,6300.74,32625.0,701213.24,8.730368525271999,11.454270196100852,7.182802319019034
centro_1q,Centro | 1 quarto,mediana,p25,0.7,0.4,0.08,445.0,652500.0,113697.5,45479.0,7000.0,61218.5,9787.5,6300.74,52200.0,720788.24,8.493271199874181,11.774026478923854,7.182802319019034
centro_1q,Centro | 1 quarto,mediana,mediana,0.4,0.2,0.03,445.0,890000.0,64970.0,12994.0,7000.0,44976.0,13350.0,6914.39,26700.0,936964.39,4.800182427423949,20.832541577730346,5.387101739264276
centro_1q,Centro | 1 quarto,mediana,mediana,0.4,0.2,0.05,445.0,890000.0,64970.0,12994.0,7000.0,44976.0,13350.0,6914.39,44500.0,954764.39,4.710690980001883,21.228308208822483,5.387101739264276
centro_1q,Centro | 1 quarto,mediana,mediana,0.4,0.2,0.08,445.0,890000.0,64970.0,12994.0,7000.0,44976.0,13350.0,6914.39,71200.0,981464.39,4.582540177540216,21.821958155460692,5.387101739264276
centro_1q,Centro | 1 quarto,mediana,mediana,0.4,0.3,0.03,445.0,890000.0,64970.0,19491.0,7000.0,38479.0,13350.0,6914.39,26700.0,936964.39,4.1067729372297705,24.350019231269005,6.156687702016315
centro_1q,Centro | 1 quarto,mediana,mediana,0.4,0.3,0.05,445.0,890000.0,64970.0,19491.0,7000.0,38479.0,13350.0,6914.39,44500.0,954764.39,4.030208960767798,24.812609215416202,6.156687702016315
centro_1q,Centro | 1 quarto,mediana,mediana,0.4,0.3,0.08,445.0,890000.0,64970.0,19491.0,7000.0,38479.0,13350.0,6914.39,71200.0,981464.39,3.9205701594532636,25.506494191636996,6.156687702016315
centro_1q,Centro | 1 quarto,mediana,mediana,0.4,0.4,0.03,445.0,890000.0,64970.0,25988.0,7000.0,31982.0,13350.0,6914.39,26700.0,936964.39,3.413363447035591,29.296616534300544,7.182802319019034
centro_1q,Centro | 1 quarto,mediana,mediana,0.4,0.4,0.05,445.0,890000.0,64970.0,25988.0,7000.0,31982.0,13350.0,6914.39,44500.0,954764.39,3.3497269415337114,29.853179601025577,7.182802319019034
centro_1q,Centro | 1 quarto,mediana,mediana,0.4,0.4,0.08,445.0,890000.0,64970.0,25988.0,7000.0,31982.0,13350.0,6914.39,71200.0,981464.39,3.2586001413663106,30.688024201113127,7.182802319019034
centro_1q,Centro | 1 quarto,mediana,mediana,0.55,0.2,0.03,445.0,890000.0,89333.75,17866.75,7000.0,64467.0,13350.0,6914.39,26700.0,936964.39,6.880410898006486,14.534015697953992,5.387101739264276
